customer_code,workshop_code,workshop_name,city,state,sso,region,workshop_division,partner_type,is_active
2000860,2000860,CROSSLAND TRUCKS PVT LTD,JAIPUR,Rajasthan,Jaipur,North,1000860-Sv&Pa-Jaipur-CrossT,Dealer,True
2000862,2000862,CROSSLAND TRUCKS PVT LTD,JAIPUR,Rajasthan,Jaipur,North,1000860-Sv&Pa-Jaipurvki-CrossT,Dealer,True
2001140,2001140,DUNAC AUTOMOBILES PVT LTD,SRIGANGANAGAR,Rajasthan,Jaipur,North,1001140-Sv&Pa-Sgangangr-DunacA,Dealer,True
2001141,2001141,DUNAC AUTOMOBILES PVT LTD,JHUNJHUNU,Rajasthan,Jaipur,North,1001140-Sv&Pa-Jhunjhunu-DunacA,Dealer,True
2001330,2001330,GANGANAGAR MOTORS,KOTA,Rajasthan,Jaipur,North,1001330-Sv&Pa-Kota-GangaM,Dealer,True
2001331,2001331,GANGANAGAR MOTORS,JHALAWAR,Rajasthan,Jaipur,North,1001330-Sv&Pa-Jhalawar-GangaM,Dealer,True
2001754,2001754,ROSHAN MOTORS PVT. LTD.,CHITROLI,Rajasthan,Jaipur,North,1001750-Sv&Pa-Jaipur-Roshan,Dealer,True
200B060,200B060,ROSHAN MOTORS PVT. LTD.,SHAHPURA,Rajasthan,Jaipur,North,1001750-Sv&Pa-Shahpura-Roshan,Dealer,True
2002060,2002060,KHANDELWAL MOTORS PVT LTD,MAHWA,Rajasthan,Jaipur,North,1002060-Sv&Pa-Mahwa-KhnMot,Dealer,True
2003070,2003070,CHANDRMAULI MOTORS PVT LTD,ALWAR,Rajasthan,Jaipur,North,1003070-Sv&Pa-Alwar-ChMotP,Dealer,True
2003073,2003073,CHANDRMAULI MOTORS PVT LTD,BHIWADI,Rajasthan,Jaipur,North,1003070-Sv&Pa-Bhiwadi-ChMotP,Dealer,True
2003250,2003250,MATSYA AUTOMOBILES LTD.,ALWAR,Rajasthan,Jaipur,North,1003250-Sv&Pa-Alwar-Matsya,Dealer,True
2003251,2003251,MATSYA AUTOMOBILES LTD.,BEHROR,Rajasthan,Jaipur,North,1003250-Sv&Pa-Behror-Matsya,Dealer,True
2003540,2003540,KOTA TRUCKS PVT. LTD,KOTA,Rajasthan,Jaipur,North,1003540-Sv&Pa-Kota-KotatR,Dealer,True
2003543,2003543,KOTA TRUCKS PVT. LTD,BUNDI,Rajasthan,Jaipur,North,1003540-Sv&Pa-Bundi-KotatR,Dealer,True
2003546,2003546,KOTA TRUCKS PVT. LTD,BARAN,Rajasthan,Jaipur,North,1003540-Sv&Pa-Rajpali-KotatR,Dealer,True
2004320,2004320,SARAWAGI AUTOMOBILES PVT. LTD .,SRI GANGANAGAR,Rajasthan,Jaipur,North,1004320-Sv&Pa-SriGanganagar-SarWau,Dealer,True
2004322,2004322,SARAWAGI AUTOMOBILES PVT. LTD .,HANUMANGARH,Rajasthan,Jaipur,North,1004320-Sv&Pa-Hanumangarh-SarWau,Dealer,True
2007200,2007200,GANGANAGAR VEHICLES PVT LTD,JAIPUR,Rajasthan,Jaipur,North,1007200-Sv&Pa-Jaipur-GanVeh,Dealer,True
2007230,2007230,DUNAC MOTORS,BIKANER,Rajasthan,Jaipur,North,1007230-Sv&Pa-Bikaner-DunacM,Dealer,True
2007231,2007231,DUNAC MOTORS,NAGAUR,Rajasthan,Jaipur,North,1007230-Sv&Pa-Nagaur-DunacM,Dealer,True
2007830,2007830,RAMJASH DHARNIA TRUCKS,NAGAUR,Rajasthan,Jaipur,North,1007830-Sv&Pa-Nagaur-RamJas,Dealer,True
2008220,2008220,SHRI GANGA FOUR WHEELS PVT LTD,SIKAR,Rajasthan,Jaipur,North,1008220-Sv&Pa-Sikar-SgfWpl,Dealer,True
2008221,2008221,SHRI GANGA FOUR WHEELS PVT LTD,JHUNJHUNU,Rajasthan,Jaipur,North,1008220-Sv&Pa-Jhunjhunu-SgfWpl,Dealer,True
2008240,2008240,RAJARAM DHARNIA FOURWHEELS,BIKANER,Rajasthan,Jaipur,North,1008240-Sv&Pa-Bikaner-RdaFwh,Dealer,True
2008241,2008241,RAJARAM DHARNIA FOURWHEELS,BIKANERS,Rajasthan,Jaipur,North,1008240-Sv&Pa-Bikaners-RdaFwh,Dealer,True
200A780,200A780,PRATAP AUTOCOM PVT LTD,JAIPUR,Rajasthan,Jaipur,North,100A780-Sv&Pa-Jaipur-PraTap,Dealer,True
200A781,200A781,PRATAP AUTOCOM PVT LTD,JHOTWARA,Rajasthan,Jaipur,North,100A780-Sv&Pa-Jhotwara-PraTap,Dealer,True
200A800,200A800,GUPTA TRUCKS,JHALAWAR,Rajasthan,Jaipur,North,100A800-Sv&Pa-Jhalawar-GupTaa,Dealer,True
2082020,2082020,MUNISH MOTORS,BHARATPUR,Rajasthan,Jaipur,North,2082020-Sv&Pa-Bharatpur-MunMot,TASS,True
2082132,2082132,CHAMBAL MOTORS,DHOLPUR,Rajasthan,Jaipur,North,2082132-Sv&Pa-Dholpur-ChaMot,TASS,True
2082137,2082137,ANAND SERVICE STATION,SHAHPURA,Rajasthan,Jaipur,North,2082137-Sv&Pa-Shahpura-AnaSer,TASS,True
2082302,2082302,TRIVENI MOTORS,KOTPUTLI,Rajasthan,Jaipur,North,2082302-Sv&Pa-Kotputli-TrvMot,TASS,True
2082373,2082373,JINDAL MOTORS,DEOLI,Rajasthan,Jaipur,North,2082373-Sv&Pa-Deoli-JinMot,TASS,True
2082404,2082404,GANESH MOTORS,HANUMANGARH,Rajasthan,Jaipur,North,2082404-Sv&Pa-Hanumangar-GanMot,TASS,True
2082539,2082539,SHREE SHYAM MOTORS,BEHROR,Rajasthan,Jaipur,North,2082539-Sv&Pa-Behror,TASS,True
2082553,2082553,SIDDARTH AUTOMOBILES,MERTA,Rajasthan,Jaipur,North,2082553-Sv&Pa-Nagour-SidAut,TASS,True
2082588,2082588,SAHID KUMAR SINGH VIR CHAKRA MOTORS,BHARATPUR,Rajasthan,Jaipur,North,2082588-Sv&Pa-Bharatpur-SKSVCM,TASS,True
2082661,2082661,HIGHWAY MOTORS,JAIPUR,Rajasthan,Jaipur,North,2082661-Sv&Pa-Jaipur-HighMo,TASS,True
2082717,2082717,BANSAL MOTORS -2082717,HANUMANGARH,Rajasthan,Jaipur,North,2082717-Sv&Pa-Hanumangarh-BnlMrs,TASS,True
2082746,2082746,MEEL MOTORS,SUJANGARH,Rajasthan,Jaipur,North,2082746-Sv&Pa-Sujangarh-MelMot,TASS,True
2082811,2082811,KRISHNA MOTORS-2082811,DHOLPUR,Rajasthan,Jaipur,North,2082811-Sv&Pa-Dholpur-Krshna,TASS,True
